Distrito,Concelho,Freguesia,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Aveiro,Águeda,Valongo do Vouga,PS,"43,88%",989,PPD/PSD,"31,90%",719,CH,"6,52%",147,B.E.,"4,08%",92,IL,"3,33%",75,PCP-PEV,"2,53%",57,CDS-PP,"1,77%",40,PAN,"0,89%",20,R.I.R.,"0,89%",20,L,"0,62%",14,PCTP/MRPP,"0,49%",11,ADN,"0,18%",4,E,"0,09%",2,JPP,"0,09%",2,MAS,"0,09%",2,VP,"0,09%",2,MPT,"0,00%",0,EMBRANCO,"1,95%",44,NULOS,"0,62%",14,,,,,,,,,
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,PPD/PSD,"35,65%","1,834",PS,"34,90%","1,795",CH,"7,72%",397,IL,"5,00%",257,CDS-PP,"4,82%",248,B.E.,"4,72%",243,PCP-PEV,"1,56%",80,PAN,"1,50%",77,L,"0,70%",36,R.I.R.,"0,35%",18,PCTP/MRPP,"0,19%",10,ADN,"0,17%",9,MAS,"0,14%",7,VP,"0,14%",7,MPT,"0,10%",5,E,"0,08%",4,JPP,"0,04%",2,EMBRANCO,"1,34%",69,NULOS,"0,89%",46,,,,,,,,,
Aveiro,Albergaria-a-Velha,Alquerubim,PS,"46,04%",517,PPD/PSD,"32,50%",365,CH,"6,41%",72,CDS-PP,"4,81%",54,IL,"2,67%",30,B.E.,"2,49%",28,PAN,"0,71%",8,PCP-PEV,"0,45%",5,L,"0,36%",4,R.I.R.,"0,36%",4,MAS,"0,18%",2,MPT,"0,18%",2,PCTP/MRPP,"0,09%",1,ADN,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,78%",20,NULOS,"0,98%",11,,,,,,,,,
Aveiro,Albergaria-a-Velha,Angeja,PS,"43,49%",451,PPD/PSD,"26,62%",276,CH,"7,04%",73,CDS-PP,"6,27%",65,B.E.,"4,34%",45,PCP-PEV,"3,47%",36,IL,"2,70%",28,ADN,"0,96%",10,L,"0,96%",10,PCTP/MRPP,"0,68%",7,PAN,"0,58%",6,R.I.R.,"0,58%",6,MPT,"0,19%",2,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,25%",13,NULOS,"0,87%",9,,,,,,,,,
Aveiro,Albergaria-a-Velha,Branca,PPD/PSD,"37,17%","1,018",PS,"37,09%","1,016",CH,"6,75%",185,CDS-PP,"6,64%",182,IL,"3,32%",91,B.E.,"2,74%",75,PCP-PEV,"1,31%",36,PAN,"1,06%",29,L,"0,80%",22,R.I.R.,"0,47%",13,PCTP/MRPP,"0,22%",6,ADN,"0,07%",2,MPT,"0,07%",2,JPP,"0,04%",1,VP,"0,04%",1,E,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,28%",35,NULOS,"0,91%",25,,,,,,,,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,PS,"37,38%",314,PPD/PSD,"34,05%",286,CDS-PP,"7,98%",67,CH,"7,14%",60,B.E.,"3,33%",28,IL,"2,86%",24,PAN,"1,19%",10,PCP-PEV,"1,19%",10,R.I.R.,"0,83%",7,L,"0,48%",4,PCTP/MRPP,"0,48%",4,MPT,"0,24%",2,E,"0,12%",1,MAS,"0,12%",1,VP,"0,12%",1,ADN,"0,00%",0,JPP,"0,00%",0,EMBRANCO,"1,55%",13,NULOS,"0,95%",8,,,,,,,,,
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,PS,"38,04%",552,PPD/PSD,"30,94%",449,CH,"9,30%",135,CDS-PP,"7,93%",115,B.E.,"4,41%",64,IL,"2,89%",42,PAN,"1,45%",21,PCP-PEV,"1,17%",17,R.I.R.,"0,83%",12,L,"0,62%",9,PCTP/MRPP,"0,28%",4,MPT,"0,14%",2,ADN,"0,07%",1,JPP,"0,07%",1,MAS,"0,07%",1,VP,"0,07%",1,E,"0,00%",0,EMBRANCO,"0,83%",12,NULOS,"0,90%",13,,,,,,,,,
Aveiro,Anadia,"Amoreira da Gândara, Paredes do Bairro e Ancas",PPD/PSD,"45,09%",629,PS,"29,89%",417,CH,"8,10%",113,CDS-PP,"4,01%",56,B.E.,"3,23%",45,IL,"2,94%",41,PAN,"0,93%",13,PCP-PEV,"0,72%",10,ADN,"0,43%",6,R.I.R.,"0,36%",5,MPT,"0,14%",2,PCTP/MRPP,"0,14%",2,VP,"0,14%",2,E,"0,07%",1,JPP,"0,07%",1,L,"0,07%",1,MAS,"0,00%",0,EMBRANCO,"2,22%",31,NULOS,"1,43%",20,,,,,,,,,
Aveiro,Anadia,Arcos e Mogofores,PS,"36,37%","1,141",PPD/PSD,"34,81%","1,092",IL,"6,38%",200,CH,"6,06%",190,B.E.,"4,75%",149,CDS-PP,"3,03%",95,PCP-PEV,"2,30%",72,PAN,"1,88%",59,L,"0,73%",23,PCTP/MRPP,"0,61%",19,R.I.R.,"0,35%",11,ADN,"0,32%",10,JPP,"0,10%",3,MPT,"0,10%",3,VP,"0,06%",2,MAS,"0,03%",1,E,"0,00%",0,EMBRANCO,"1,56%",49,NULOS,"0,57%",18,,,,,,,,,
Aveiro,Anadia,Avelãs de Caminho,PPD/PSD,"39,57%",222,PS,"37,79%",212,CH,"6,24%",35,IL,"3,21%",18,CDS-PP,"2,67%",15,B.E.,"2,32%",13,PCP-PEV,"1,60%",9,L,"1,07%",6,PAN,"1,07%",6,PCTP/MRPP,"1,07%",6,R.I.R.,"0,71%",4,ADN,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,14%",12,NULOS,"0,53%",3,,,,,,,,,
Aveiro,Anadia,Avelãs de Cima,PPD/PSD,"54,50%",533,PS,"23,62%",231,CH,"6,34%",62,B.E.,"4,09%",40,CDS-PP,"2,97%",29,IL,"2,86%",28,PCP-PEV,"0,72%",7,L,"0,51%",5,R.I.R.,"0,51%",5,PCTP/MRPP,"0,41%",4,PAN,"0,31%",3,ADN,"0,10%",1,MPT,"0,10%",1,VP,"0,10%",1,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,53%",15,NULOS,"1,33%",13,,,,,,,,,
Aveiro,Anadia,Moita,PPD/PSD,"42,80%",508,PS,"33,61%",399,CH,"6,66%",79,IL,"4,13%",49,B.E.,"3,79%",45,CDS-PP,"2,27%",27,PAN,"1,26%",15,PCP-PEV,"1,26%",15,L,"0,84%",10,R.I.R.,"0,67%",8,PCTP/MRPP,"0,25%",3,VP,"0,25%",3,MAS,"0,08%",1,MPT,"0,08%",1,ADN,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,EMBRANCO,"1,60%",19,NULOS,"0,42%",5,,,,,,,,,
Aveiro,Anadia,Sangalhos,PPD/PSD,"37,11%",685,PS,"32,07%",592,CH,"7,58%",140,IL,"5,53%",102,B.E.,"4,93%",91,CDS-PP,"3,25%",60,PCP-PEV,"2,28%",42,PAN,"1,19%",22,L,"1,14%",21,PCTP/MRPP,"0,65%",12,R.I.R.,"0,38%",7,ADN,"0,22%",4,MPT,"0,22%",4,JPP,"0,16%",3,MAS,"0,16%",3,E,"0,11%",2,VP,"0,11%",2,EMBRANCO,"1,73%",32,NULOS,"1,19%",22,,,,,,,,,
Aveiro,Anadia,São Lourenço do Bairro,PPD/PSD,"42,36%",491,PS,"33,05%",383,CH,"7,68%",89,IL,"4,06%",47,B.E.,"3,80%",44,CDS-PP,"1,81%",21,PCP-PEV,"1,21%",14,PAN,"0,86%",10,MPT,"0,43%",5,L,"0,35%",4,PCTP/MRPP,"0,35%",4,R.I.R.,"0,35%",4,ADN,"0,26%",3,MAS,"0,26%",3,E,"0,17%",2,VP,"0,17%",2,JPP,"0,00%",0,EMBRANCO,"1,55%",18,NULOS,"1,29%",15,,,,,,,,,
Aveiro,Anadia,"Tamengos, Aguim e Óis do Bairro",PS,"39,42%",663,PPD/PSD,"38,53%",648,CH,"6,12%",103,IL,"4,58%",77,B.E.,"3,21%",54,CDS-PP,"1,61%",27,PCP-PEV,"1,31%",22,PAN,"1,19%",20,L,"1,07%",18,R.I.R.,"0,30%",5,JPP,"0,12%",2,MAS,"0,12%",2,PCTP/MRPP,"0,12%",2,ADN,"0,06%",1,MPT,"0,06%",1,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,66%",28,NULOS,"0,54%",9,,,,,,,,,
Aveiro,Anadia,Vila Nova de Monsarros,PS,"43,35%",329,PPD/PSD,"36,36%",276,IL,"5,80%",44,B.E.,"3,43%",26,CH,"3,29%",25,CDS-PP,"1,32%",10,PAN,"1,19%",9,R.I.R.,"0,79%",6,PCP-PEV,"0,53%",4,L,"0,26%",2,PCTP/MRPP,"0,26%",2,ADN,"0,13%",1,MAS,"0,13%",1,MPT,"0,13%",1,VP,"0,13%",1,E,"0,00%",0,JPP,"0,00%",0,EMBRANCO,"1,71%",13,NULOS,"1,19%",9,,,,,,,,,
Aveiro,Anadia,Vilarinho do Bairro,PPD/PSD,"55,07%",749,PS,"22,72%",309,CH,"8,09%",110,IL,"3,53%",48,CDS-PP,"3,24%",44,B.E.,"2,43%",33,PAN,"0,74%",10,L,"0,44%",6,PCTP/MRPP,"0,44%",6,R.I.R.,"0,44%",6,JPP,"0,22%",3,MPT,"0,15%",2,PCP-PEV,"0,15%",2,VP,"0,07%",1,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,47%",20,NULOS,"0,81%",11,,,,,,,,,
Aveiro,Arouca,Alvarenga,PPD/PSD,"52,47%",297,PS,"33,04%",187,CDS-PP,"4,06%",23,CH,"3,71%",21,B.E.,"1,77%",10,IL,"0,71%",4,PCP-PEV,"0,71%",4,PCTP/MRPP,"0,53%",3,MAS,"0,35%",2,R.I.R.,"0,35%",2,E,"0,18%",1,L,"0,18%",1,PAN,"0,18%",1,VP,"0,18%",1,ADN,"0,00%",0,JPP,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,35%",2,NULOS,"1,24%",7,,,,,,,,,
Aveiro,Arouca,Arouca e Burgo,PPD/PSD,"41,46%","1,177",PS,"38,18%","1,084",CH,"4,68%",133,B.E.,"3,24%",92,IL,"3,21%",91,CDS-PP,"2,22%",63,PCP-PEV,"1,44%",41,PAN,"1,06%",30,L,"0,74%",21,R.I.R.,"0,67%",19,PCTP/MRPP,"0,21%",6,ADN,"0,14%",4,MAS,"0,11%",3,MPT,"0,11%",3,VP,"0,07%",2,E,"0,04%",1,JPP,"0,00%",0,EMBRANCO,"1,62%",46,NULOS,"0,81%",23,,,,,,,,,
Aveiro,Arouca,Cabreiros e Albergaria da Serra,PS,"61,68%",66,PPD/PSD,"31,78%",34,B.E.,"0,93%",1,CDS-PP,"0,93%",1,CH,"0,93%",1,R.I.R.,"0,93%",1,ADN,"0,00%",0,E,"0,00%",0,IL,"0,00%",0,JPP,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,PCTP/MRPP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,87%",2,NULOS,"0,93%",1,,,,,,,,,
Aveiro,Arouca,Canelas e Espiunca,PPD/PSD,"46,75%",259,PS,"30,32%",168,CH,"4,51%",25,CDS-PP,"4,15%",23,B.E.,"3,07%",17,IL,"2,71%",15,R.I.R.,"2,35%",13,PAN,"1,08%",6,PCP-PEV,"0,90%",5,PCTP/MRPP,"0,54%",3,E,"0,36%",2,L,"0,18%",1,VP,"0,18%",1,ADN,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,44%",8,NULOS,"1,44%",8,,,,,,,,,
Aveiro,Arouca,Chave,PPD/PSD,"43,85%",342,PS,"33,97%",265,CH,"7,69%",60,B.E.,"4,23%",33,CDS-PP,"2,44%",19,IL,"1,79%",14,R.I.R.,"1,41%",11,L,"0,77%",6,PAN,"0,77%",6,PCP-PEV,"0,51%",4,E,"0,26%",2,MPT,"0,26%",2,PCTP/MRPP,"0,26%",2,ADN,"0,13%",1,JPP,"0,13%",1,MAS,"0,13%",1,VP,"0,00%",0,EMBRANCO,"0,26%",2,NULOS,"1,15%",9,,,,,,,,,
Aveiro,Arouca,Covelo de Paivó e Janarde,PPD/PSD,"47,52%",48,PS,"40,59%",41,CDS-PP,"2,97%",3,B.E.,"0,99%",1,CH,"0,99%",1,IL,"0,99%",1,L,"0,99%",1,R.I.R.,"0,99%",1,VP,"0,99%",1,ADN,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,PCTP/MRPP,"0,00%",0,EMBRANCO,"1,98%",2,NULOS,"0,99%",1,,,,,,,,,
Aveiro,Arouca,Escariz,PPD/PSD,"41,73%",497,PS,"36,36%",433,CH,"5,71%",68,CDS-PP,"3,78%",45,IL,"3,53%",42,B.E.,"3,02%",36,R.I.R.,"0,92%",11,PAN,"0,67%",8,PCP-PEV,"0,59%",7,L,"0,42%",5,PCTP/MRPP,"0,34%",4,MAS,"0,17%",2,ADN,"0,08%",1,E,"0,00%",0,JPP,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,26%",15,NULOS,"1,43%",17,,,,,,,,,
Aveiro,Arouca,Fermedo,PPD/PSD,"46,70%",333,PS,"36,61%",261,CH,"3,79%",27,B.E.,"2,95%",21,CDS-PP,"2,81%",20,IL,"2,38%",17,R.I.R.,"0,98%",7,PCP-PEV,"0,84%",6,PAN,"0,56%",4,PCTP/MRPP,"0,28%",2,L,"0,14%",1,MPT,"0,14%",1,VP,"0,14%",1,ADN,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"0,84%",6,NULOS,"0,84%",6,,,,,,,,,
Aveiro,Arouca,Mansores,PPD/PSD,"50,63%",321,PS,"30,91%",196,CH,"5,21%",33,CDS-PP,"3,79%",24,IL,"3,31%",21,B.E.,"2,21%",14,PAN,"0,63%",4,R.I.R.,"0,63%",4,L,"0,47%",3,PCTP/MRPP,"0,47%",3,ADN,"0,16%",1,PCP-PEV,"0,16%",1,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,79%",5,NULOS,"0,63%",4,,,,,,,,,
Aveiro,Arouca,Moldes,PS,"45,12%",305,PPD/PSD,"40,09%",271,CDS-PP,"2,22%",15,IL,"2,22%",15,B.E.,"2,07%",14,CH,"1,92%",13,PCP-PEV,"1,78%",12,R.I.R.,"1,18%",8,L,"0,59%",4,PCTP/MRPP,"0,30%",2,PAN,"0,15%",1,ADN,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,48%",10,NULOS,"0,89%",6,,,,,,,,,
Aveiro,Arouca,Rossas,PPD/PSD,"45,95%",374,PS,"33,54%",273,CH,"5,41%",44,CDS-PP,"2,95%",24,B.E.,"2,46%",20,IL,"2,33%",19,PCP-PEV,"1,47%",12,R.I.R.,"1,11%",9,PCTP/MRPP,"0,61%",5,PAN,"0,37%",3,L,"0,25%",2,ADN,"0,12%",1,E,"0,12%",1,JPP,"0,12%",1,MAS,"0,12%",1,MPT,"0,12%",1,VP,"0,00%",0,EMBRANCO,"1,35%",11,NULOS,"1,60%",13,,,,,,,,,
Aveiro,Arouca,Santa Eulália,PPD/PSD,"42,90%",535,PS,"38,57%",481,CH,"4,73%",59,CDS-PP,"3,05%",38,IL,"2,49%",31,B.E.,"1,76%",22,PCP-PEV,"1,44%",18,PAN,"0,56%",7,PCTP/MRPP,"0,40%",5,L,"0,24%",3,R.I.R.,"0,16%",2,ADN,"0,08%",1,JPP,"0,08%",1,MAS,"0,08%",1,VP,"0,08%",1,E,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,84%",23,NULOS,"1,52%",19,,,,,,,,,
Aveiro,Arouca,São Miguel do Mato,PPD/PSD,"46,76%",159,PS,"40,00%",136,CDS-PP,"2,65%",9,CH,"2,06%",7,B.E.,"1,76%",6,PCP-PEV,"1,47%",5,IL,"0,59%",2,PCTP/MRPP,"0,59%",2,ADN,"0,29%",1,PAN,"0,29%",1,R.I.R.,"0,29%",1,VP,"0,29%",1,E,"0,00%",0,JPP,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,47%",5,NULOS,"1,47%",5,,,,,,,,,
Aveiro,Arouca,Tropeço,PPD/PSD,"42,72%",264,PS,"35,44%",219,CH,"6,63%",41,CDS-PP,"3,24%",20,IL,"3,24%",20,B.E.,"2,10%",13,PAN,"0,81%",5,R.I.R.,"0,81%",5,E,"0,65%",4,L,"0,65%",4,PCP-PEV,"0,65%",4,MAS,"0,32%",2,PCTP/MRPP,"0,32%",2,MPT,"0,16%",1,ADN,"0,00%",0,JPP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,13%",7,NULOS,"1,13%",7,,,,,,,,,
Aveiro,Arouca,Urrô,PPD/PSD,"50,37%",270,PS,"32,28%",173,CH,"4,29%",23,CDS-PP,"3,36%",18,IL,"2,99%",16,B.E.,"2,61%",14,PCTP/MRPP,"0,93%",5,ADN,"0,56%",3,PAN,"0,37%",2,PCP-PEV,"0,37%",2,L,"0,19%",1,R.I.R.,"0,19%",1,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,12%",6,NULOS,"0,37%",2,,,,,,,,,
Aveiro,Arouca,Várzea,PPD/PSD,"45,57%",139,PS,"35,41%",108,CH,"5,25%",16,IL,"2,62%",8,CDS-PP,"2,30%",7,B.E.,"1,64%",5,PCP-PEV,"1,64%",5,R.I.R.,"1,31%",4,PCTP/MRPP,"0,66%",2,L,"0,33%",1,PAN,"0,33%",1,ADN,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,30%",7,NULOS,"0,66%",2,,,,,,,,,
Aveiro,Aveiro,Aradas,PPD/PSD,"37,16%","1,783",PS,"33,45%","1,605",IL,"7,54%",362,CH,"5,92%",284,B.E.,"5,65%",271,CDS-PP,"2,33%",112,PAN,"1,73%",83,PCP-PEV,"1,65%",79,L,"1,35%",65,PCTP/MRPP,"0,35%",17,R.I.R.,"0,21%",10,ADN,"0,17%",8,MPT,"0,17%",8,MAS,"0,10%",5,VP,"0,08%",4,JPP,"0,06%",3,E,"0,02%",1,EMBRANCO,"1,29%",62,NULOS,"0,75%",36,,,,,,,,,
Aveiro,Aveiro,Cacia,PS,"42,29%","1,437",PPD/PSD,"28,40%",965,CH,"7,62%",259,B.E.,"6,86%",233,IL,"3,97%",135,PCP-PEV,"2,21%",75,CDS-PP,"1,71%",58,PAN,"1,71%",58,L,"1,12%",38,PCTP/MRPP,"0,41%",14,R.I.R.,"0,29%",10,ADN,"0,12%",4,VP,"0,12%",4,MAS,"0,09%",3,E,"0,06%",2,MPT,"0,06%",2,JPP,"0,03%",1,EMBRANCO,"1,65%",56,NULOS,"1,29%",44,,,,,,,,,
Aveiro,Aveiro,Eixo e Eirol,PS,"40,13%","1,181",PPD/PSD,"29,46%",867,CH,"8,66%",255,B.E.,"5,10%",150,IL,"4,69%",138,CDS-PP,"2,72%",80,PAN,"2,28%",67,PCP-PEV,"2,07%",61,L,"0,61%",18,R.I.R.,"0,54%",16,PCTP/MRPP,"0,31%",9,ADN,"0,20%",6,MAS,"0,17%",5,VP,"0,17%",5,E,"0,07%",2,JPP,"0,03%",1,MPT,"0,03%",1,EMBRANCO,"1,60%",47,NULOS,"1,16%",34,,,,,,,,,
Aveiro,Aveiro,Esgueira,PS,"39,44%","2,656",PPD/PSD,"28,62%","1,927",CH,"7,02%",473,B.E.,"6,96%",469,IL,"6,01%",405,PCP-PEV,"2,45%",165,CDS-PP,"2,05%",138,PAN,"1,98%",133,L,"1,53%",103,R.I.R.,"0,45%",30,PCTP/MRPP,"0,39%",26,ADN,"0,33%",22,MPT,"0,15%",10,E,"0,13%",9,VP,"0,10%",7,MAS,"0,09%",6,JPP,"0,07%",5,EMBRANCO,"1,54%",104,NULOS,"0,68%",46,,,,,,,,,
Aveiro,Aveiro,Glória e Vera Cruz,PS,"35,46%","3,942",PPD/PSD,"33,93%","3,772",IL,"8,08%",898,B.E.,"6,23%",692,CH,"4,28%",476,PCP-PEV,"2,67%",297,CDS-PP,"2,28%",254,L,"2,21%",246,PAN,"1,90%",211,PCTP/MRPP,"0,27%",30,ADN,"0,19%",21,R.I.R.,"0,18%",20,MAS,"0,16%",18,VP,"0,13%",15,MPT,"0,12%",13,E,"0,04%",5,JPP,"0,04%",4,EMBRANCO,"1,30%",145,NULOS,"0,51%",57,,,,,,,,,
