Freguesia DW,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Estrela,PPD/PSD,"33,21%","3,55",PS,"26,53%","2,835",IL,"14,71%","1,572",CH,"5,37%",574,CDS-PP,"4,66%",498,B.E.,"3,54%",378,PCP-PEV,"3,46%",370,L,"3,41%",364,PAN,"1,41%",151,JPP,"1,15%",123,PTP,"0,65%",70,PCTP/MRPP,"0,20%",21,ADN,"0,18%",19,VP,"0,15%",16,R.I.R.,"0,14%",15,A,"0,12%",13,E,"0,07%",7,MAS,"0,06%",6,MPT,"0,06%",6,,,,,,,,,
Nave,PPD/PSD,"33,33%",31,PS,"29,03%",27,CH,"15,05%",14,IL,"5,38%",5,B.E.,"3,23%",3,E,"3,23%",3,L,"3,23%",3,MPT,"1,08%",1,PCP-PEV,"1,08%",1,CDS-PP,"0,00%",0,MAS,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"3,23%",3,NULOS,"2,15%",2,,,,,,,,,,,,,,,
Campo de Ourique,PS,"33,36%","4,181",PPD/PSD,"28,48%","3,569",IL,"12,44%","1,559",CH,"5,03%",631,PCP-PEV,"4,52%",566,L,"4,32%",541,B.E.,"4,20%",527,CDS-PP,"2,81%",352,PAN,"1,88%",236,PCTP/MRPP,"0,32%",40,ADN,"0,30%",37,VP,"0,21%",26,R.I.R.,"0,14%",18,MPT,"0,14%",17,A,"0,07%",9,E,"0,07%",9,JPP,"0,06%",8,MAS,"0,06%",8,NC,"0,05%",6,,,,,,,,,
São Cristóvão,PS,"33,44%",102,PPD/PSD,"24,92%",76,PCP-PEV,"20,33%",62,CH,"7,54%",23,CDS-PP,"4,59%",14,IL,"2,62%",8,B.E.,"1,97%",6,L,"0,66%",2,R.I.R.,"0,66%",2,PAN,"0,33%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,97%",6,NULOS,"0,98%",3,,,,,,,,,,,,,,,
Albufeira e Olhos de Água,PS,"33,46%","3,56",PPD/PSD,"28,10%","2,99",CH,"15,14%","1,611",IL,"5,38%",572,B.E.,"5,22%",555,PCP-PEV,"3,98%",423,PAN,"2,49%",265,CDS-PP,"1,29%",137,L,"1,00%",106,ADN,"0,72%",77,R.I.R.,"0,36%",38,MPT,"0,22%",23,MAS,"0,18%",19,E,"0,13%",14,PTP,"0,10%",11,VP,"0,08%",9,EMBRANCO,"1,24%",132,NULOS,"0,91%",97,,,,,,,,,,,,
Quarteira,PS,"33,51%","2,936",PPD/PSD,"30,91%","2,708",CH,"14,31%","1,254",IL,"6,36%",557,B.E.,"4,91%",430,PCP-PEV,"2,59%",227,PAN,"2,10%",184,L,"0,98%",86,CDS-PP,"0,95%",83,ADN,"0,60%",53,R.I.R.,"0,24%",21,MAS,"0,14%",12,MPT,"0,14%",12,VP,"0,10%",9,PTP,"0,09%",8,E,"0,07%",6,EMBRANCO,"1,14%",100,NULOS,"0,87%",76,,,,,,,,,,,,
Lumiar,PPD/PSD,"33,67%","9,64",PS,"30,68%","8,784",IL,"13,31%","3,81",CH,"4,72%","1,352",L,"3,88%","1,112",B.E.,"3,64%","1,041",PCP-PEV,"3,52%","1,009",CDS-PP,"2,55%",730,PAN,"1,72%",492,PCTP/MRPP,"0,21%",61,ADN,"0,20%",58,R.I.R.,"0,19%",55,VP,"0,16%",47,MAS,"0,09%",25,MPT,"0,08%",24,NC,"0,05%",15,A,"0,05%",13,E,"0,05%",13,JPP,"0,04%",11,,,,,,,,,
Nadadouro,PPD/PSD,"33,69%",347,PS,"32,52%",335,CH,"8,64%",89,IL,"7,28%",75,B.E.,"6,21%",64,PCP-PEV,"2,33%",24,CDS-PP,"2,23%",23,L,"1,26%",13,PAN,"1,26%",13,ADN,"0,78%",8,MAS,"0,29%",3,NC,"0,19%",2,E,"0,10%",1,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,14%",22,NULOS,"1,07%",11,,,,,,,,,
União das freguesias de São Gregório e Santa Justa,PS,"33,74%",83,PCP-PEV,"28,86%",71,PPD/PSD,"13,82%",34,CH,"10,98%",27,IL,"3,25%",8,CDS-PP,"1,63%",4,B.E.,"1,22%",3,L,"0,41%",1,MPT,"0,41%",1,PAN,"0,41%",1,E,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,44%",6,NULOS,"2,85%",7,,,,,,,,,,,,,,,
Areeiro,PPD/PSD,"33,83%","4,424",PS,"28,28%","3,699",IL,"13,18%","1,724",CH,"5,05%",660,L,"4,85%",634,B.E.,"4,19%",548,PCP-PEV,"3,83%",501,CDS-PP,"2,85%",373,PAN,"1,74%",227,ADN,"0,24%",32,VP,"0,18%",23,PCTP/MRPP,"0,17%",22,MAS,"0,12%",16,MPT,"0,11%",14,R.I.R.,"0,09%",12,A,"0,05%",6,E,"0,05%",6,NC,"0,05%",6,JPP,"0,03%",4,,,,,,,,,
União das freguesias de São Bartolomeu dos Galegos e Moledo,PS,"33,85%",261,PPD/PSD,"33,07%",255,CH,"12,71%",98,B.E.,"5,19%",40,IL,"3,37%",26,PCP-PEV,"2,98%",23,CDS-PP,"1,43%",11,L,"1,04%",8,PAN,"1,04%",8,R.I.R.,"0,91%",7,ADN,"0,52%",4,PCTP/MRPP,"0,52%",4,E,"0,26%",2,VP,"0,26%",2,A,"0,13%",1,MAS,"0,13%",1,NC,"0,13%",1,PTP,"0,13%",1,JPP,"0,00%",0,,,,,,,,,
São Domingos de Benfica,PPD/PSD,"33,91%","7,352",PS,"31,64%","6,859",IL,"12,48%","2,705",CH,"4,41%",956,L,"3,99%",866,PCP-PEV,"3,67%",796,B.E.,"3,65%",792,CDS-PP,"2,47%",535,PAN,"1,83%",397,ADN,"0,22%",47,PCTP/MRPP,"0,16%",35,VP,"0,12%",27,MPT,"0,08%",18,R.I.R.,"0,08%",18,MAS,"0,07%",16,E,"0,04%",9,NC,"0,04%",9,A,"0,02%",4,JPP,"0,02%",4,,,,,,,,,
União das freguesias de Vila Nova de São Bento e Vale de Vargo,PS,"34,03%",616,PCP-PEV,"33,04%",598,CH,"12,65%",229,PPD/PSD,"12,10%",219,B.E.,"2,21%",40,PCTP/MRPP,"1,27%",23,IL,"0,94%",17,CDS-PP,"0,50%",9,E,"0,39%",7,L,"0,39%",7,PAN,"0,39%",7,R.I.R.,"0,22%",4,VP,"0,22%",4,MPT,"0,17%",3,PTP,"0,06%",1,MAS,"0,00%",0,EMBRANCO,"0,61%",11,NULOS,"0,83%",15,,,,,,,,,,,,
Brandara,PPD/PSD,"34,10%",89,PS,"33,72%",88,CDS-PP,"13,79%",36,CH,"8,81%",23,IL,"2,30%",6,B.E.,"1,53%",4,PCP-PEV,"1,53%",4,PAN,"1,15%",3,L,"0,38%",1,MPT,"0,38%",1,R.I.R.,"0,38%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,77%",2,NULOS,"1,15%",3,,,,,,,,,,,,,,,
Parque das Nações,PS,"34,11%","4,083",PPD/PSD,"32,50%","3,89",IL,"12,74%","1,525",CH,"4,89%",585,B.E.,"3,47%",415,L,"3,33%",399,PCP-PEV,"3,20%",383,PAN,"1,82%",218,CDS-PP,"1,45%",173,PCTP/MRPP,"0,25%",30,ADN,"0,21%",25,VP,"0,15%",18,NC,"0,11%",13,R.I.R.,"0,11%",13,MAS,"0,08%",10,MPT,"0,08%",9,JPP,"0,06%",7,PTP,"0,04%",5,A,"0,03%",3,,,,,,,,,
Arroios – Lisboa,PS,"34,15%","5,375",PPD/PSD,"24,73%","3,893",IL,"10,07%","1,585",B.E.,"7,31%","1,15",L,"6,27%",987,PCP-PEV,"6,16%",970,CH,"4,40%",693,PAN,"2,40%",377,CDS-PP,"2,02%",318,PCTP/MRPP,"0,25%",40,ADN,"0,24%",38,VP,"0,17%",26,MAS,"0,13%",21,MPT,"0,10%",16,R.I.R.,"0,10%",16,NC,"0,07%",11,JPP,"0,06%",9,E,"0,03%",5,PTP,"0,03%",5,,,,,,,,,
"União das freguesias de Vale Flor, Carvalhal e Pai Penela",PS,"34,19%",40,CDS-PP,"6,84%",8,CH,"5,98%",7,B.E.,"4,27%",5,PCP-PEV,"2,56%",3,L,"1,71%",2,IL,"0,85%",1,MPT,"0,85%",1,R.I.R.,"0,85%",1,E,"0,00%",0,MAS,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,85%",1,NULOS,"2,56%",3,,,,,,,,,,,,,,,,,,
Colares,PS,"34,27%","1,443",PPD/PSD,"30,18%","1,271",CH,"7,98%",336,IL,"7,79%",328,B.E.,"4,61%",194,PCP-PEV,"3,85%",162,PAN,"2,61%",110,CDS-PP,"2,52%",106,L,"2,33%",98,ADN,"0,59%",25,PCTP/MRPP,"0,47%",20,R.I.R.,"0,26%",11,NC,"0,17%",7,E,"0,12%",5,MPT,"0,09%",4,MAS,"0,07%",3,VP,"0,07%",3,JPP,"0,05%",2,A,"0,00%",0,,,,,,,,,
Gafanha da Encarnação,PPD/PSD,"34,35%",813,PS,"33,84%",801,CH,"10,10%",239,IL,"6,04%",143,B.E.,"5,20%",123,CDS-PP,"2,37%",56,PAN,"1,69%",40,L,"1,01%",24,PCP-PEV,"0,97%",23,R.I.R.,"0,51%",12,MPT,"0,46%",11,ADN,"0,38%",9,PCTP/MRPP,"0,34%",8,VP,"0,17%",4,E,"0,08%",2,MAS,"0,04%",1,JPP,"0,00%",0,EMBRANCO,"1,56%",37,NULOS,"0,89%",21,,,,,,,,,
"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",PS,"34,36%","9,514",PPD/PSD,"29,93%","8,287",IL,"11,52%","3,189",CH,"5,19%","1,438",B.E.,"4,53%","1,253",PCP-PEV,"4,32%","1,197",L,"3,42%",947,CDS-PP,"2,30%",637,PAN,"1,96%",544,ADN,"0,28%",78,PCTP/MRPP,"0,19%",53,R.I.R.,"0,17%",46,MAS,"0,10%",28,MPT,"0,09%",24,NC,"0,08%",21,VP,"0,08%",21,A,"0,05%",13,E,"0,03%",9,JPP,"0,03%",8,,,,,,,,,
União das freguesias de A dos Cunhados e Maceira,PS,"34,71%","1,96",PPD/PSD,"29,56%","1,669",CH,"12,06%",681,IL,"5,76%",325,B.E.,"4,92%",278,PCP-PEV,"3,03%",171,L,"1,75%",99,PAN,"1,58%",89,CDS-PP,"1,47%",83,PCTP/MRPP,"0,64%",36,R.I.R.,"0,34%",19,ADN,"0,32%",18,A,"0,19%",11,MPT,"0,16%",9,MAS,"0,14%",8,JPP,"0,12%",7,VP,"0,09%",5,E,"0,07%",4,NC,"0,05%",3,,,,,,,,,
Avenidas Novas,PPD/PSD,"34,77%","5,045",PS,"25,57%","3,71",IL,"16,60%","2,409",CH,"5,02%",729,CDS-PP,"4,07%",591,L,"4,05%",588,B.E.,"3,59%",521,PCP-PEV,"3,25%",472,PAN,"1,22%",177,ADN,"0,20%",29,VP,"0,18%",26,R.I.R.,"0,14%",20,PCTP/MRPP,"0,11%",16,MAS,"0,08%",12,MPT,"0,06%",8,A,"0,05%",7,E,"0,04%",6,JPP,"0,02%",3,PTP,"0,02%",3,,,,,,,,,
Souto – Sabugal,PPD/PSD,"34,86%",167,PS,"34,66%",166,CH,"16,70%",80,IL,"3,13%",15,CDS-PP,"2,92%",14,B.E.,"2,71%",13,PCP-PEV,"1,04%",5,R.I.R.,"0,84%",4,E,"0,63%",3,L,"0,63%",3,VP,"0,21%",1,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"0,42%",2,NULOS,"1,25%",6,,,,,,,,,,,,,,,
Gafanha do Carmo,PS,"34,94%",254,PPD/PSD,"33,84%",246,CH,"8,53%",62,B.E.,"5,78%",42,IL,"2,89%",21,CDS-PP,"2,61%",19,PAN,"1,93%",14,PCP-PEV,"1,38%",10,ADN,"1,10%",8,VP,"0,83%",6,L,"0,55%",4,R.I.R.,"0,55%",4,PCTP/MRPP,"0,41%",3,MPT,"0,14%",1,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"3,30%",24,NULOS,"1,24%",9,,,,,,,,,
Carvoeira,PS,"35,03%",501,PPD/PSD,"25,73%",368,IL,"8,18%",117,CH,"7,97%",114,B.E.,"6,01%",86,PCP-PEV,"5,59%",80,PAN,"3,78%",54,L,"2,73%",39,CDS-PP,"1,75%",25,ADN,"0,56%",8,MAS,"0,28%",4,MPT,"0,21%",3,PCTP/MRPP,"0,21%",3,NC,"0,14%",2,R.I.R.,"0,14%",2,A,"0,07%",1,JPP,"0,07%",1,VP,"0,07%",1,E,"0,00%",0,,,,,,,,,
Boliqueime,PS,"35,10%",714,PPD/PSD,"30,48%",620,CH,"14,11%",287,IL,"5,36%",109,B.E.,"4,23%",86,PCP-PEV,"2,46%",50,PAN,"2,02%",41,CDS-PP,"1,52%",31,L,"0,79%",16,ADN,"0,49%",10,R.I.R.,"0,49%",10,MPT,"0,20%",4,MAS,"0,15%",3,PTP,"0,10%",2,VP,"0,05%",1,E,"0,00%",0,EMBRANCO,"1,52%",31,NULOS,"0,93%",19,,,,,,,,,,,,
União das freguesias de Parceiros e Azoia,PS,"35,20%",1.510,PPD/PSD,"34,76%",1.491,IL,"7,37%",316,CH,"6,81%",292,B.E.,"5,13%",220,PCP-PEV,"2,26%",97,PAN,"1,52%",65,CDS-PP,"1,33%",57,L,"1,24%",53,R.I.R.,"0,65%",28,ADN,"0,58%",25,MAS,"0,21%",9,E,"0,14%",6,MPT,"0,12%",5,NC,"0,12%",5,PTP,"0,07%",3,VP,"0,07%",3,EMBRANCO,"1,52%",65,NULOS,"0,93%",40,,,,,,,,,
Vale de Gouvinhas,PPD/PSD,"35,20%",44,PS,"32,80%",41,CH,"17,60%",22,CDS-PP,"5,60%",7,E,"2,40%",3,PCP-PEV,"2,40%",3,B.E.,"0,80%",1,IL,"0,80%",1,R.I.R.,"0,80%",1,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,EMBRANCO,"0,80%",1,NULOS,"0,80%",1,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",PS,"35,21%","5,74",PPD/PSD,"27,15%","4,427",IL,"9,26%","1,51",CH,"9,13%","1,488",B.E.,"4,97%",810,PCP-PEV,"3,90%",636,L,"2,55%",415,PAN,"2,20%",358,CDS-PP,"1,96%",319,PCTP/MRPP,"0,39%",64,ADN,"0,31%",50,R.I.R.,"0,28%",45,MAS,"0,17%",27,VP,"0,12%",20,MPT,"0,12%",19,NC,"0,11%",18,JPP,"0,09%",15,A,"0,07%",11,E,"0,07%",11,,,,,,,,,
Freixo,PS,"35,24%",37,PPD/PSD,"34,29%",36,CH,"10,48%",11,B.E.,"5,71%",6,CDS-PP,"3,81%",4,IL,"2,86%",3,L,"1,90%",2,PCP-PEV,"1,90%",2,R.I.R.,"1,90%",2,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"1,90%",2,,,,,,,,,,,,,,,
Calvelo,PS,"35,28%",133,PPD/PSD,"33,42%",126,CDS-PP,"11,14%",42,CH,"6,10%",23,IL,"6,10%",23,B.E.,"2,92%",11,PCP-PEV,"1,33%",5,A,"0,53%",2,L,"0,53%",2,R.I.R.,"0,53%",2,E,"0,27%",1,PAN,"0,27%",1,VP,"0,27%",1,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,80%",3,NULOS,"0,53%",2,,,,,,,,,,,,,,,
"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",PS,"35,31%","11,786",PPD/PSD,"28,79%","9,612",IL,"10,45%","3,487",CH,"5,80%","1,937",B.E.,"4,87%","1,625",PCP-PEV,"3,84%","1,283",L,"3,29%","1,098",CDS-PP,"2,35%",785,PAN,"2,29%",764,ADN,"0,33%",111,PCTP/MRPP,"0,26%",87,R.I.R.,"0,18%",61,VP,"0,11%",38,MAS,"0,10%",33,MPT,"0,10%",33,A,"0,07%",24,NC,"0,07%",24,E,"0,04%",13,JPP,"0,04%",13,,,,,,,,,
Belém,PPD/PSD,"35,32%","3,481",PS,"26,39%","2,601",IL,"15,40%","1,518",CH,"5,67%",559,L,"3,80%",375,CDS-PP,"3,76%",371,PCP-PEV,"3,42%",337,B.E.,"3,10%",306,PAN,"1,21%",119,PCTP/MRPP,"0,20%",20,ADN,"0,19%",19,VP,"0,12%",12,MAS,"0,11%",11,MPT,"0,08%",8,R.I.R.,"0,07%",7,E,"0,04%",4,JPP,"0,03%",3,A,"0,01%",1,NC,"0,00%",0,,,,,,,,,
União das freguesias de Beja (Santiago Maior e São João Baptista),PS,"35,34%","2,349",PPD/PSD,"24,81%","1,649",PCP-PEV,"16,10%","1,07",CH,"10,34%",687,B.E.,"3,87%",257,IL,"3,28%",218,CDS-PP,"1,23%",82,PAN,"1,14%",76,L,"1,01%",67,PCTP/MRPP,"0,44%",29,VP,"0,20%",13,R.I.R.,"0,18%",12,E,"0,12%",8,MPT,"0,11%",7,MAS,"0,09%",6,PTP,"0,03%",2,EMBRANCO,"1,26%",84,NULOS,"0,47%",31,,,,,,,,,,,,
União das freguesias de São João da Ribeira e Ribeira de São João,PS,"35,35%",245,PPD/PSD,"34,20%",237,CH,"11,26%",78,PCP-PEV,"4,76%",33,B.E.,"3,75%",26,CDS-PP,"3,03%",21,IL,"1,15%",8,E,"0,72%",5,PAN,"0,72%",5,L,"0,58%",4,R.I.R.,"0,43%",3,VP,"0,29%",2,MAS,"0,14%",1,MPT,"0,14%",1,PTP,"0,00%",0,EMBRANCO,"2,31%",16,NULOS,"1,15%",8,,,,,,,,,,,,,,,
Longueira/Almograve,PS,"35,40%",194,PPD/PSD,"22,45%",123,CH,"11,50%",63,PCP-PEV,"9,12%",50,IL,"7,85%",43,B.E.,"6,39%",35,L,"1,28%",7,CDS-PP,"0,91%",5,PCTP/MRPP,"0,55%",3,E,"0,18%",1,MAS,"0,18%",1,MPT,"0,18%",1,PAN,"0,18%",1,R.I.R.,"0,18%",1,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,19%",12,NULOS,"1,46%",8,,,,,,,,,,,,
União das freguesias de Barcos e Santa Leocádia,PS,"35,42%",113,PPD/PSD,"35,11%",112,CDS-PP,"14,73%",47,CH,"8,15%",26,B.E.,"1,57%",5,IL,"1,57%",5,PCP-PEV,"1,57%",5,PAN,"0,94%",3,VP,"0,31%",1,ADN,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,63%",2,NULOS,"0,00%",0,,,,,,,,,
União das freguesias de Glória e Vera Cruz,PS,"35,46%","3,942",PPD/PSD,"33,93%","3,772",IL,"8,08%",898,B.E.,"6,23%",692,CH,"4,28%",476,PCP-PEV,"2,67%",297,CDS-PP,"2,28%",254,L,"2,21%",246,PAN,"1,90%",211,PCTP/MRPP,"0,27%",30,ADN,"0,19%",21,R.I.R.,"0,18%",20,MAS,"0,16%",18,VP,"0,13%",15,MPT,"0,12%",13,E,"0,04%",5,JPP,"0,04%",4,EMBRANCO,"1,30%",145,NULOS,"0,51%",57,,,,,,,,,
Pechão,PS,"35,47%",576,PPD/PSD,"22,97%",373,CH,"14,96%",243,B.E.,"8,13%",132,PCP-PEV,"4,80%",78,IL,"4,74%",77,PAN,"2,89%",47,L,"1,11%",18,CDS-PP,"0,80%",13,ADN,"0,43%",7,R.I.R.,"0,43%",7,MAS,"0,31%",5,MPT,"0,25%",4,PTP,"0,12%",2,VP,"0,12%",2,E,"0,06%",1,EMBRANCO,"1,60%",26,NULOS,"0,80%",13,,,,,,,,,,,,
Relva,PS,"35,47%",365,PPD/PSD.CDS-PP.PPM,"32,36%",333,IL,"7,48%",77,CH,"7,00%",72,B.E.,"6,32%",65,PAN,"2,72%",28,PCP-PEV,"1,55%",16,ADN,"1,36%",14,L,"1,17%",12,PCTP/MRPP,"0,19%",2,R.I.R.,"0,19%",2,MAS,"0,10%",1,MPT,"0,10%",1,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,62%",27,NULOS,"1,36%",14,,,,,,,,,,,,,,,
Relva,PS,"35,47%",365,PPD/PSD.CDS-PP.PPM,"32,36%",333,IL,"7,48%",77,CH,"7,00%",72,B.E.,"6,32%",65,PAN,"2,72%",28,PCP-PEV,"1,55%",16,ADN,"1,36%",14,L,"1,17%",12,PCTP/MRPP,"0,19%",2,R.I.R.,"0,19%",2,MAS,"0,10%",1,MPT,"0,10%",1,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,62%",27,NULOS,"1,36%",14,,,,,,,,,,,,,,,
